,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
40,4,4,3,2016,6,84,77,79,1,117,108.29256374889441
41,4,5,3,2016,6,78,70,75,2,909,634.5383035320889
42,4,6,3,2016,6,78,70,75,2,1369,1339.7737913617493
43,4,7,3,2016,6,78,70,75,2,1239,1240.4630565201792
44,4,8,3,2016,6,76,71,83,2,1082,1151.0521965044875
45,4,9,3,2016,6,76,71,83,2,965,977.6552166583957
46,4,10,3,2016,6,76,71,83,2,905,909.9959578552779
47,4,11,3,2016,6,82,72,70,3,950,960.2393188258138
48,4,12,3,2016,6,82,72,70,3,857,938.3695969845464
49,4,13,3,2016,6,82,72,70,3,868,954.9418863914027
50,4,14,3,2016,6,85,75,72,2,704,1028.3471354917688
51,4,15,3,2016,6,85,75,72,2,927,996.5223354449964
52,4,16,3,2016,6,85,75,72,2,1086,1145.691375667031
53,4,17,3,2016,6,91,71,53,2,1388,1267.0611512676921
54,4,18,3,2016,6,91,71,53,2,1049,1126.4414933691323
55,4,19,3,2016,6,91,71,53,2,745,759.5598782121868
56,4,20,3,2016,6,82,77,84,3,579,663.4684194306707
57,4,21,3,2016,6,82,77,84,3,381,312.12334433685555
58,4,22,3,2016,6,82,77,84,3,16,43.271197262426355
