,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
119,4,4,7,2016,6,84,77,79,1,42,26.266825345944767
120,4,5,7,2016,6,78,70,75,2,569,494.21313885599244
121,4,6,7,2016,6,78,70,75,2,1552,1362.987940199109
122,4,7,7,2016,6,78,70,75,2,2018,1889.1338897418348
123,4,8,7,2016,6,76,71,83,2,1915,2109.6605804988376
124,4,9,7,2016,6,76,71,83,2,1764,1740.2487102911773
125,4,10,7,2016,6,76,71,83,2,1558,1642.4197722169606
126,4,11,7,2016,6,82,72,70,3,1679,1719.9671204427802
127,4,12,7,2016,6,82,72,70,3,1941,1865.4882939428446
128,4,13,7,2016,6,82,72,70,3,1909,1876.7635390350597
129,4,14,7,2016,6,85,75,72,2,1990,1736.292254883962
130,4,15,7,2016,6,85,75,72,2,2278,2095.97810771507
131,4,16,7,2016,6,85,75,72,2,2526,2290.820578182473
132,4,17,7,2016,6,91,71,53,2,2648,2423.931361135915
133,4,18,7,2016,6,91,71,53,2,2740,2434.286715083259
134,4,19,7,2016,6,91,71,53,2,2337,2434.315313812978
135,4,20,7,2016,6,82,77,84,3,1894,1950.3229813494659
136,4,21,7,2016,6,82,77,84,3,1296,1438.6545830685736
137,4,22,7,2016,6,82,77,84,3,606,650.2148380288836
138,4,23,7,2016,6,84,72,66,2,0,0.0
