,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
179,4,4,10,2016,6,84,77,79,1,0,0.0
180,4,5,10,2016,6,78,70,75,2,112,6.637152408817706
181,4,6,10,2016,6,78,70,75,2,338,337.73781957572976
182,4,7,10,2016,6,78,70,75,2,539,486.3815319388616
183,4,8,10,2016,6,76,71,83,2,418,425.1936955521238
184,4,9,10,2016,6,76,71,83,2,377,401.49391815101416
185,4,10,10,2016,6,76,71,83,2,461,445.46586732923316
186,4,11,10,2016,6,82,72,70,3,566,601.7057888563232
187,4,12,10,2016,6,82,72,70,3,527,609.6013915848782
188,4,13,10,2016,6,82,72,70,3,539,627.0036002797439
189,4,14,10,2016,6,85,75,72,2,774,921.7206042635228
190,4,15,10,2016,6,85,75,72,2,1017,1205.2565987740973
191,4,16,10,2016,6,85,75,72,2,1168,1418.0864585040395
192,4,17,10,2016,6,91,71,53,2,1597,1347.0938251596292
193,4,18,10,2016,6,91,71,53,2,1387,1350.1671826456477
194,4,19,10,2016,6,91,71,53,2,1147,1245.68808398949
195,4,20,10,2016,6,82,77,84,3,773,904.4941863944015
196,4,21,10,2016,6,82,77,84,3,579,672.6810346317801
197,4,22,10,2016,6,82,77,84,3,387,432.3512731674864
198,4,23,10,2016,6,84,72,66,2,0,0.0
