,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
59,4,4,4,2016,6,84,77,79,1,249,261.7717024707183
60,4,5,4,2016,6,78,70,75,2,1420,1392.9126747931718
61,4,6,4,2016,6,78,70,75,2,1772,1533.0299790930442
62,4,7,4,2016,6,78,70,75,2,1580,1557.9560944377395
63,4,8,4,2016,6,76,71,83,2,2113,2112.5496387722756
64,4,9,4,2016,6,76,71,83,2,1999,2188.3374186765104
65,4,10,4,2016,6,76,71,83,2,1905,2460.036329943438
66,4,11,4,2016,6,82,72,70,3,2367,2258.046195169486
67,4,12,4,2016,6,82,72,70,3,2323,2351.882389179757
68,4,13,4,2016,6,82,72,70,3,2223,2352.350855586933
69,4,14,4,2016,6,85,75,72,2,2088,2485.230074752258
70,4,15,4,2016,6,85,75,72,2,2444,2435.5914473274743
71,4,16,4,2016,6,85,75,72,2,2396,2446.6703149405116
72,4,17,4,2016,6,91,71,53,2,2742,2966.319912500953
73,4,18,4,2016,6,91,71,53,2,2706,2975.336969168659
74,4,19,4,2016,6,91,71,53,2,2442,2572.03240656526
75,4,20,4,2016,6,82,77,84,3,1900,1937.3326753894398
76,4,21,4,2016,6,82,77,84,3,1376,1537.3578378479174
77,4,22,4,2016,6,82,77,84,3,212,187.20643555846954
78,4,23,4,2016,6,84,72,66,2,0,0.0
