,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
20,4,4,2,2016,6,84,77,79,1,230,253.0691625757102
21,4,5,2,2016,6,78,70,75,2,1646,1478.7920841536652
22,4,6,2,2016,6,78,70,75,2,3119,2770.835851274967
23,4,7,2,2016,6,78,70,75,2,2423,2431.398260420906
24,4,8,2,2016,6,76,71,83,2,2115,2359.8940890643753
25,4,9,2,2016,6,76,71,83,2,1464,1855.1435911058097
26,4,10,2,2016,6,76,71,83,2,1995,1657.2820156843147
27,4,11,2,2016,6,82,72,70,3,1778,1743.0056808607844
28,4,12,2,2016,6,82,72,70,3,1742,1840.8371568149382
29,4,13,2,2016,6,82,72,70,3,1693,1697.0131534179725
30,4,14,2,2016,6,85,75,72,2,1385,1669.0920318210708
31,4,15,2,2016,6,85,75,72,2,1567,1551.4361051466892
32,4,16,2,2016,6,85,75,72,2,1920,1614.281178459904
33,4,17,2,2016,6,91,71,53,2,2456,2188.404161692177
34,4,18,2,2016,6,91,71,53,2,2055,2167.091143733976
35,4,19,2,2016,6,91,71,53,2,1696,1587.1737361628577
36,4,20,2,2016,6,82,77,84,3,1102,1336.0142191791072
37,4,21,2,2016,6,82,77,84,3,792,798.644160186857
38,4,22,2,2016,6,82,77,84,3,49,28.77218881900105
39,4,23,2,2016,6,84,72,66,2,1,0.0
