,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
99,4,4,6,2016,6,84,77,79,1,8,0.0
100,4,5,6,2016,6,78,70,75,2,151,30.86513665472719
101,4,6,6,2016,6,78,70,75,2,441,412.08515611283053
102,4,7,6,2016,6,78,70,75,2,695,634.0713208433277
103,4,8,6,2016,6,76,71,83,2,542,604.6230399824675
104,4,9,6,2016,6,76,71,83,2,509,560.5299212585783
105,4,10,6,2016,6,76,71,83,2,494,561.9976114900294
106,4,11,6,2016,6,82,72,70,3,633,597.3004191449221
107,4,12,6,2016,6,82,72,70,3,680,708.0276991772813
108,4,13,6,2016,6,82,72,70,3,799,775.2442759551395
109,4,14,6,2016,6,85,75,72,2,951,955.5003637513419
110,4,15,6,2016,6,85,75,72,2,1224,1109.1793350244561
111,4,16,6,2016,6,85,75,72,2,1307,1240.7762720444034
112,4,17,6,2016,6,91,71,53,2,1821,1807.6015496437926
113,4,18,6,2016,6,91,71,53,2,1812,1957.2589271915765
114,4,19,6,2016,6,91,71,53,2,1294,1499.611875492487
115,4,20,6,2016,6,82,77,84,3,870,899.550908266415
116,4,21,6,2016,6,82,77,84,3,599,617.6024910278434
117,4,22,6,2016,6,82,77,84,3,220,237.32822906717672
118,4,23,6,2016,6,84,72,66,2,0,12.014648988759854
