,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
159,4,4,9,2016,6,84,77,79,1,12,26.406172794062613
160,4,5,9,2016,6,78,70,75,2,529,460.8247838248471
161,4,6,9,2016,6,78,70,75,2,1367,1442.9828735204444
162,4,7,9,2016,6,78,70,75,2,2192,2130.2455195451066
163,4,8,9,2016,6,76,71,83,2,2084,1864.758650196753
164,4,9,9,2016,6,76,71,83,2,1815,1794.6350358200668
165,4,10,9,2016,6,76,71,83,2,1684,1529.9924518067048
166,4,11,9,2016,6,82,72,70,3,1575,1603.5338506178834
167,4,12,9,2016,6,82,72,70,3,1675,1605.0364203610618
168,4,13,9,2016,6,82,72,70,3,1442,1558.1297599276422
169,4,14,9,2016,6,85,75,72,2,1545,1639.0108955879812
170,4,15,9,2016,6,85,75,72,2,1394,1611.3123641801874
171,4,16,9,2016,6,85,75,72,2,1711,1880.5039643088771
172,4,17,9,2016,6,91,71,53,2,1652,1704.1835659621204
173,4,18,9,2016,6,91,71,53,2,1699,1621.751798735449
174,4,19,9,2016,6,91,71,53,2,1532,1681.2763604666545
175,4,20,9,2016,6,82,77,84,3,1206,1290.9717990459944
176,4,21,9,2016,6,82,77,84,3,825,929.9391019057917
177,4,22,9,2016,6,82,77,84,3,637,557.1184676650081
178,4,23,9,2016,6,84,72,66,2,0,0.0
