,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
79,4,4,5,2016,6,84,77,79,1,15,0.0
80,4,5,5,2016,6,78,70,75,2,101,23.355207237313994
81,4,6,5,2016,6,78,70,75,2,289,158.1954479441318
82,4,7,5,2016,6,78,70,75,2,412,398.0994305876787
83,4,8,5,2016,6,76,71,83,2,416,386.4531726569496
84,4,9,5,2016,6,76,71,83,2,359,353.0495083089238
85,4,10,5,2016,6,76,71,83,2,357,347.8723123525461
86,4,11,5,2016,6,82,72,70,3,390,357.42532042303736
87,4,12,5,2016,6,82,72,70,3,319,332.0945696536615
88,4,13,5,2016,6,82,72,70,3,423,394.85751872163866
89,4,14,5,2016,6,85,75,72,2,432,552.8997734107926
90,4,15,5,2016,6,85,75,72,2,492,536.1303473052795
91,4,16,5,2016,6,85,75,72,2,558,569.7231767243907
92,4,17,5,2016,6,91,71,53,2,736,838.93792285668
93,4,18,5,2016,6,91,71,53,2,640,758.2931635454279
94,4,19,5,2016,6,91,71,53,2,484,660.2860116397871
95,4,20,5,2016,6,82,77,84,3,290,497.48690698705
96,4,21,5,2016,6,82,77,84,3,221,213.09088618513198
97,4,22,5,2016,6,82,77,84,3,59,85.16614071784538
98,4,23,5,2016,6,84,72,66,2,1,15.752435487199262
