,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
219,4,4,12,2016,6,84,77,79,1,0,0.0
220,4,5,12,2016,6,78,70,75,2,438,352.496486871428
221,4,6,12,2016,6,78,70,75,2,1181,939.325183490881
222,4,7,12,2016,6,78,70,75,2,1462,1172.1914064943408
223,4,8,12,2016,6,76,71,83,2,1479,1127.0321795738628
224,4,9,12,2016,6,76,71,83,2,1324,1240.0880050177248
225,4,10,12,2016,6,76,71,83,2,1132,1116.4226556226693
226,4,11,12,2016,6,82,72,70,3,1084,1268.951945657785
227,4,12,12,2016,6,82,72,70,3,1141,1248.0461669820195
228,4,13,12,2016,6,82,72,70,3,1225,1277.8208562134062
229,4,14,12,2016,6,85,75,72,2,1398,1584.8021689976101
230,4,15,12,2016,6,85,75,72,2,1793,2034.141801562648
231,4,16,12,2016,6,85,75,72,2,2483,2347.6793874718765
232,4,17,12,2016,6,91,71,53,2,3121,2819.0246448349003
233,4,18,12,2016,6,91,71,53,2,3387,2724.9303447944694
234,4,19,12,2016,6,91,71,53,2,2653,2692.9053989026434
235,4,20,12,2016,6,82,77,84,3,2355,2173.909344543652
236,4,21,12,2016,6,82,77,84,3,1147,1557.8521048625896
237,4,22,12,2016,6,82,77,84,3,550,695.2262641664436
238,4,23,12,2016,6,84,72,66,2,0,186.5837366189163
