,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
199,4,4,11,2016,6,84,77,79,1,2,15.288799046373423
200,4,5,11,2016,6,78,70,75,2,383,338.46380077674354
201,4,6,11,2016,6,78,70,75,2,1019,979.2285390487705
202,4,7,11,2016,6,78,70,75,2,1266,1130.5947499472338
203,4,8,11,2016,6,76,71,83,2,981,1001.772992453287
204,4,9,11,2016,6,76,71,83,2,1023,1067.9996191632476
205,4,10,11,2016,6,76,71,83,2,1053,1032.0673822757267
206,4,11,11,2016,6,82,72,70,3,1228,1224.361913602705
207,4,12,11,2016,6,82,72,70,3,1425,1411.3086019057482
208,4,13,11,2016,6,82,72,70,3,1474,1488.7250910290234
209,4,14,11,2016,6,85,75,72,2,1796,1925.856707413973
210,4,15,11,2016,6,85,75,72,2,1985,2743.4088685725746
211,4,16,11,2016,6,85,75,72,2,3183,3145.567649275137
212,4,17,11,2016,6,91,71,53,2,2674,2670.4624575319867
213,4,18,11,2016,6,91,71,53,2,2858,2879.6156255753567
214,4,19,11,2016,6,91,71,53,2,3734,2801.496099024814
215,4,20,11,2016,6,82,77,84,3,2770,3057.769960019268
216,4,21,11,2016,6,82,77,84,3,2691,3111.8486039115187
217,4,22,11,2016,6,82,77,84,3,1934,2033.420158913216
218,4,23,11,2016,6,84,72,66,2,0,274.81008468806016
