,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
0,4,4,1,2016,6,78,70,75,2,866,755.9682141219573
1,4,5,1,2016,6,78,70,75,2,4254,4432.309336931474
2,4,6,1,2016,6,78,70,75,2,7234,6815.608672595669
3,4,7,1,2016,6,78,70,75,2,6425,6687.618732016579
4,4,8,1,2016,6,76,71,83,2,6968,7269.815621033301
5,4,9,1,2016,6,76,71,83,2,4678,5923.610093436988
6,4,10,1,2016,6,76,71,83,2,4767,4331.607034874646
7,4,11,1,2016,6,82,72,70,3,4451,4370.12469835981
8,4,12,1,2016,6,82,72,70,3,3702,4537.09767762712
9,4,13,1,2016,6,82,72,70,3,3991,3837.9687986144604
10,4,14,1,2016,6,85,75,72,2,2823,3239.957707324743
11,4,15,1,2016,6,85,75,72,2,2801,3105.234641289371
12,4,16,1,2016,6,85,75,72,2,2904,3186.689282653829
13,4,17,1,2016,6,91,71,53,2,3190,3277.002040304263
14,4,18,1,2016,6,91,71,53,2,3344,3229.833252907225
15,4,19,1,2016,6,91,71,53,2,3443,3498.698865669839
16,4,20,1,2016,6,82,77,84,3,3246,3008.22060809058
17,4,21,1,2016,6,82,77,84,3,1990,1965.0139828498177
18,4,22,1,2016,6,82,77,84,3,1,0.0
19,4,23,1,2016,6,84,72,66,2,0,0.0
